epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
99,1.193498,0.912128,0.980148,0.825165,0.631579,0.816976,0.00023458,0.4895,312.9
100,1.194522,0.912112,0.948626,0.832053,0.634046,0.824289,0.00022645,0.4871,288.8
101,1.184287,0.914499,0.944319,0.833796,0.643914,0.826435,0.00021840,0.4846,279.8
102,1.185835,0.913654,0.932688,0.832410,0.633224,0.825703,0.00021045,0.4822,278.1
103,1.186404,0.913335,0.928910,0.835389,0.642270,0.828531,0.00020260,0.4798,277.3
104,1.178106,0.916197,0.920218,0.836006,0.639803,0.828434,0.00019484,0.4774,277.8
105,1.166793,0.919619,0.894395,0.841027,0.639803,0.833845,0.00018719,0.4750,280.1
106,1.182187,0.915898,0.944813,0.833029,0.652138,0.825216,0.00017964,0.4726,274.5
107,1.170197,0.918758,0.900513,0.841227,0.639803,0.833553,0.00017221,0.4703,274.5
108,1.161257,0.920645,0.915696,0.837413,0.643914,0.829311,0.00016489,0.4679,279.7
109,1.151499,0.922911,0.899986,0.839737,0.655428,0.832431,0.00015768,0.4656,317.5
110,1.158983,0.921772,0.881829,0.844427,0.656250,0.838038,0.00015060,0.4632,300.5
111,1.154024,0.922578,0.953148,0.831116,0.649671,0.824387,0.00014365,0.4609,292.8
112,1.154858,0.922266,0.927407,0.836164,0.647204,0.828580,0.00013682,0.4586,304.2
113,1.152818,0.923026,0.892698,0.841796,0.645559,0.834430,0.00013013,0.4563,326.9
114,1.149180,0.924008,0.909125,0.842537,0.660362,0.836380,0.00012357,0.4540,312.2
115,1.137352,0.926745,0.914355,0.840529,0.651316,0.833406,0.00011716,0.4518,310.7
116,1.139223,0.926482,0.879513,0.845621,0.661184,0.839062,0.00011088,0.4495,312.0
117,1.140583,0.926434,0.939503,0.835605,0.657895,0.827848,0.00010475,0.4473,311.1
118,1.140377,0.926862,0.903391,0.841967,0.658717,0.834138,0.00009877,0.4450,315.4
119,1.128643,0.929443,0.893811,0.843378,0.668586,0.835649,0.00009294,0.4428,313.6
120,1.141664,0.925423,0.884216,0.846906,0.667763,0.838477,0.00008727,0.4406,313.1
121,1.128460,0.929582,0.889147,0.843588,0.666118,0.835893,0.00008175,0.4384,310.3
