epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc_greedy,val_tok_acc_greedy,lr,tf_ratio,time
81,1.127747,0.920003,0.826462,0.847550,0.655428,0.841256,0.00046212,0.4000,174.5
82,1.119588,0.922558,0.861321,0.841793,0.648026,0.832041,0.00045133,0.4000,173.6
83,1.119199,0.922312,0.778484,0.853184,0.655428,0.848862,0.00044056,0.4000,176.9
84,1.109743,0.924550,0.799334,0.850323,0.670230,0.843352,0.00042982,0.4000,178.4
85,1.112496,0.924044,0.764099,0.852971,0.653783,0.846278,0.00041911,0.4000,175.2
86,1.101433,0.927184,0.815691,0.846729,0.654605,0.840622,0.00040844,0.4000,178.0
87,1.104430,0.926714,0.767875,0.857844,0.674342,0.852226,0.00039781,0.4000,174.8
88,1.093279,0.929608,0.796219,0.851270,0.662007,0.845595,0.00038723,0.4000,177.4
89,1.089261,0.930482,0.795318,0.851125,0.660362,0.843109,0.00037670,0.4000,178.3
90,1.078412,0.934098,0.805196,0.850773,0.662829,0.844132,0.00036624,0.4000,176.1
91,1.082846,0.932557,0.766753,0.854794,0.665296,0.847350,0.00035583,0.4000,177.1
92,1.075007,0.934709,0.807622,0.850007,0.663651,0.843450,0.00034549,0.4000,176.5
93,1.070049,0.936531,0.778200,0.857932,0.673520,0.850568,0.00033523,0.4000,177.6
94,1.059893,0.938918,0.786259,0.856776,0.666118,0.849349,0.00032504,0.4000,178.4
95,1.063278,0.938477,0.806931,0.854227,0.659539,0.847643,0.00031493,0.4000,182.8
96,1.060680,0.938406,0.820476,0.853095,0.666118,0.846131,0.00030491,0.4000,179.5
97,1.055160,0.940471,0.798422,0.857298,0.670230,0.851251,0.00029498,0.4000,178.2
98,1.050661,0.941710,0.739959,0.864588,0.671875,0.857832,0.00028515,0.4000,178.0
99,1.057650,0.939694,0.816203,0.852477,0.676809,0.845205,0.00027542,0.4000,176.9
100,1.041675,0.943487,0.761392,0.863055,0.683388,0.856028,0.00026580,0.4000,174.4
101,1.039317,0.944974,0.798743,0.854697,0.680921,0.848277,0.00025628,0.4000,174.9
102,1.038926,0.944388,0.743505,0.864675,0.678454,0.858661,0.00024688,0.4000,175.1
103,1.033747,0.946293,0.800900,0.856240,0.684211,0.850568,0.00023760,0.4000,173.5
104,1.033089,0.946422,0.785534,0.858505,0.686678,0.851982,0.00022844,0.4000,176.5
105,1.034143,0.946009,0.773586,0.861101,0.687500,0.855492,0.00021941,0.4000,177.5
106,1.024733,0.948803,0.748863,0.865187,0.687500,0.859880,0.00021051,0.4000,178.2
107,1.021931,0.949782,0.787901,0.858681,0.685855,0.854615,0.00020174,0.4000,181.1
108,1.017567,0.950995,0.746957,0.866177,0.689145,0.862123,0.00019312,0.4000,183.7
109,1.010307,0.952705,0.741735,0.867116,0.684211,0.862172,0.00018464,0.4000,185.0
110,1.009072,0.953320,0.767812,0.861530,0.684211,0.856126,0.00017631,0.4000,183.5
111,1.010198,0.952925,0.738609,0.868459,0.683388,0.862854,0.00016813,0.4000,176.2
112,1.015790,0.951171,0.730798,0.870658,0.691612,0.865389,0.00016010,0.4000,175.8
113,1.004046,0.954441,0.734935,0.867986,0.689967,0.862903,0.00015224,0.4000,168.1
114,1.007001,0.953633,0.752175,0.864857,0.686678,0.858856,0.00014454,0.4000,178.4
115,0.996030,0.957008,0.757893,0.866558,0.689145,0.860904,0.00013700,0.4000,179.6
116,1.003861,0.954619,0.785570,0.862201,0.693257,0.856760,0.00012964,0.4000,178.9
117,0.994969,0.956878,0.739316,0.870146,0.699013,0.864512,0.00012245,0.4000,180.2
118,0.994755,0.956512,0.772785,0.865659,0.702303,0.860416,0.00011543,0.4000,176.6
119,0.994802,0.956352,0.764375,0.864173,0.686678,0.858564,0.00010860,0.4000,178.0
120,0.988206,0.958685,0.758050,0.867135,0.694901,0.861050,0.00010195,0.4000,167.5
121,0.988499,0.958393,0.759730,0.868601,0.690789,0.862659,0.00009549,0.4000,165.0
122,0.987937,0.958453,0.754278,0.865049,0.688322,0.859539,0.00008922,0.4000,166.0
123,0.987842,0.959298,0.744631,0.868451,0.700658,0.861830,0.00008314,0.4000,164.4
124,0.983418,0.960208,0.764891,0.865920,0.700658,0.859539,0.00007726,0.4000,163.7
125,0.978515,0.961502,0.758713,0.868703,0.696546,0.862854,0.00007157,0.4000,164.8
126,0.977563,0.961900,0.810604,0.859667,0.697368,0.854225,0.00006609,0.4000,164.7
127,0.982707,0.959923,0.741939,0.871781,0.704770,0.865779,0.00006081,0.4000,165.0
128,0.982021,0.960277,0.783019,0.863416,0.692434,0.858564,0.00005573,0.4000,165.7
129,0.982185,0.960312,0.743718,0.869246,0.700658,0.863537,0.00005087,0.4000,166.2
130,0.975865,0.961722,0.771157,0.866130,0.703125,0.860660,0.00004621,0.4000,166.5
131,0.980374,0.961503,0.800501,0.860851,0.699013,0.855346,0.00004177,0.4000,165.5
132,0.974728,0.962719,0.764961,0.867374,0.694079,0.861391,0.00003754,0.4000,163.8
133,0.973106,0.963264,0.792837,0.862801,0.699013,0.857150,0.00003353,0.4000,164.4
134,0.972318,0.963342,0.787234,0.863415,0.699013,0.858710,0.00002974,0.4000,164.5
135,0.974973,0.962256,0.798175,0.861500,0.698191,0.854810,0.00002617,0.4000,166.6
136,0.969041,0.963973,0.793122,0.863081,0.697368,0.855687,0.00002283,0.4000,165.4
137,0.966640,0.964983,0.795070,0.862266,0.697368,0.856321,0.00001970,0.4000,164.8
138,0.967394,0.964716,0.781204,0.864708,0.700658,0.857832,0.00001680,0.4000,164.4
139,0.965064,0.964690,0.799342,0.862465,0.699013,0.856565,0.00001413,0.4000,166.9
140,0.965608,0.965224,0.785488,0.864530,0.702303,0.858271,0.00001169,0.4000,166.0
141,0.960045,0.966610,0.786805,0.865123,0.703947,0.859246,0.00000948,0.4000,164.4
142,0.967600,0.964317,0.777570,0.867382,0.705592,0.861830,0.00000749,0.4000,165.8
143,0.968035,0.964015,0.771046,0.867419,0.703947,0.861538,0.00000574,0.4000,164.6
144,0.965817,0.965134,0.784188,0.865149,0.702303,0.858905,0.00000422,0.4000,164.7
145,0.964974,0.965123,0.776139,0.867171,0.704770,0.861196,0.00000293,0.4000,164.8
146,0.964624,0.965526,0.791657,0.863618,0.701480,0.858612,0.00000188,0.4000,164.4
147,0.966978,0.964724,0.790700,0.864446,0.701480,0.858125,0.00000106,0.4000,158.7
148,0.960841,0.966125,0.783499,0.865817,0.700658,0.859978,0.00000100,0.4000,152.2
149,0.966524,0.964387,0.792871,0.864066,0.702303,0.858466,0.00000100,0.4000,155.5
150,0.970483,0.963213,0.781184,0.865790,0.702303,0.859929,0.00000100,0.4000,155.5
